png 1920 1080 hw2loadmv.png
loadmv  0.5435204593534315 -0.8776854736341757 -0.36906666524815024 0.8214759157246119  -0.9257122637720114 0.3515748211853096 -0.07468858666135847 -0.20204631828840292  0.9496853326556702 -0.6578144845969391 -0.1475506320596658 -0.0903045693827178  0 0 0 1
trif 1 2 3
trif 4 5 6
trif 7 8 9
trif 10 11 12
trif 13 14 15
trif 16 17 18
trif 19 20 21
trif 22 23 24
trif 25 26 27
trif 28 29 30
trif 31 32 33
color 0.020050229216287074 0.8513716394130033 0.3073380817025433
xyz -0.2792707698652266 0.040083624612623936 0.6499085090253969
xyz -0.22205026892709134 -0.06342573460486012 0.00865749272673133
xyz -0.29278768016769474 -0.952310417482727 -0.5503112089787339
loadmv  0.054760945294154206 0.9075254824323158 -0.4159812891569512 -0.4497914664410787  -0.6027450971564228 0.5175918204969308 0.8402171360088884 0.18455039790083605  0.1561622086451102 -0.24428065452440606 0.38075908656477675 -0.5690038624090488  0 0 0 1
trif 1 2 3
trif 4 5 6
trif 7 8 9
trif 10 11 12
trif 13 14 15
trif 16 17 18
trif 19 20 21
trif 22 23 24
trif 25 26 27
trif 28 29 30
trif 31 32 33
trif 34 35 36
color 0.10665567505706486 0.11596085800493705 0.46006237262786176
xyz 0.8713121373872323 -0.5549099741806975 0.8246120079599801
xyz 0.1500489070197779 0.9787483195235762 0.7054875012868758
xyz -0.8382108634915864 -0.7805983565320662 0.41790845285257516
loadmv  -0.9811640772301449 0.937456724235165 0.16158051742257995 0.30392279624708185  -0.4375030523813508 -0.6773836794817778 0.8515078899394726 0.5774964897116364  0.29927971184799373 0.15955757804663784 0.4942911632617022 0.5537567556812364  0 0 0 1
trif 1 2 3
trif 4 5 6
trif 7 8 9
trif 10 11 12
trif 13 14 15
trif 16 17 18
trif 19 20 21
trif 22 23 24
trif 25 26 27
trif 28 29 30
trif 31 32 33
trif 34 35 36
trif 37 38 39
color 0.3714634523343211 0.07021270106972677 0.8627701250588012
xyz -0.8596157285541008 0.3158514109563273 0.3382528905207933
xyz -0.2483133241754858 -0.27318090321478916 0.4777203777736747
xyz -0.4063209079505856 -0.8843196539712406 0.2611767837536132
loadmv  0.7435037466427277 -0.9362973624540545 -0.3614324613442992 0.7294789308253506  0.8802113061384125 0.9390130816410167 0.08392343003838376 -0.037924494600721115  0.45076370292713497 -0.1564292447061435 -0.26867159939561747 -0.6981001953902755  0 0 0 1
trif 1 2 3
trif 4 5 6
trif 7 8 9
trif 10 11 12
trif 13 14 15
trif 16 17 18
trif 19 20 21
trif 22 23 24
trif 25 26 27
trif 28 29 30
trif 31 32 33
trif 34 35 36
trif 37 38 39
trif 40 41 42
color 0.2505851898878654 0.8600434307178025 0.5677498472907019
xyz -0.10873264940512328 -0.4744861160730165 0.6582979789656627
xyz 0.21120414500811568 -0.264293509972674 0.7256033563639748
xyz -0.5324262450115271 0.8438338759370547 0.9143979265759175
loadmv  0.6020281985874336 -0.2941612294746645 -0.4368704608206231 -0.08070510585493573  -0.3811201327571836 0.4807795142245028 0.4014784957470485 0.8530749950008143  0.4207967277914608 0.2716614605795944 -0.649579338657746 0.9988059937314415  0 0 0 1
trif 1 2 3
trif 4 5 6
trif 7 8 9
trif 10 11 12
trif 13 14 15
trif 16 17 18
trif 19 20 21
trif 22 23 24
trif 25 26 27
trif 28 29 30
trif 31 32 33
trif 34 35 36
trif 37 38 39
trif 40 41 42
trif 43 44 45
color 0.32597319328349017 0.9154326336260137 0.42279576227934734
xyz -0.43201593600738586 0.18186858683239082 0.17608322664908171
xyz 0.9286083399546459 -0.8843070921362346 -0.22874304836918813
xyz 0.683596419672355 0.3808632869463333 0.1631685426158338
loadmv  0.5743564254871645 -0.6598518029038796 -0.675000878879727 -0.6332184682965729  -0.5891550266790626 0.7841492443043108 -0.9458883093750998 -0.4887464564517212  0.19789748446334032 0.9299366893745469 -0.12021955802436657 -0.6154304686274852  0 0 0 1
trif 1 2 3
trif 4 5 6
trif 7 8 9
trif 10 11 12
trif 13 14 15
trif 16 17 18
trif 19 20 21
trif 22 23 24
trif 25 26 27
trif 28 29 30
trif 31 32 33
trif 34 35 36
trif 37 38 39
trif 40 41 42
trif 43 44 45
trif 46 47 48
color 0.6022511629354891 0.36317270473819707 0.3038609498645979
xyz -0.9131902289287666 -0.18553706371012302 -0.8986026089417707
xyz 0.4655581830283113 -0.8195036548054027 0.49641645208880925
xyz -0.7063017578022432 -0.22972579208468802 0.13442229242159143
loadmv  -0.9226035003895627 0.5751088069908648 0.08130655053937974 -0.48530002014788653  0.7948496324791767 -0.5792473411726102 -0.20285364075226942 -0.7504274064217424  0.9510645077002964 0.5417349073255517 0.7754927918501584 0.8836823732184342  0 0 0 1
trif 1 2 3
trif 4 5 6
trif 7 8 9
trif 10 11 12
trif 13 14 15
trif 16 17 18
trif 19 20 21
trif 22 23 24
trif 25 26 27
trif 28 29 30
trif 31 32 33
trif 34 35 36
trif 37 38 39
trif 40 41 42
trif 43 44 45
trif 46 47 48
trif 49 50 51
color 0.08713990925690696 0.8462941583407871 0.7829375798530142
xyz 0.16413921752020033 -0.5034306623136802 0.559002412536808
xyz 0.48031069055003406 -0.5741220588140625 -0.5318172223887407
xyz -0.0531027603974672 0.8839580409994643 0.9393161264893912
loadmv  -0.02843080057368841 0.6756906830583223 -0.9011445777090574 -0.1483391524463491  0.23230259366123862 0.626475215350784 0.2745138972508361 -0.479747722020055  0.6985498505917695 -0.7114312832712668 0.6262904635676527 -0.3915441603999701  0 0 0 1
trif 1 2 3
trif 4 5 6
trif 7 8 9
trif 10 11 12
trif 13 14 15
trif 16 17 18
trif 19 20 21
trif 22 23 24
trif 25 26 27
trif 28 29 30
trif 31 32 33
trif 34 35 36
trif 37 38 39
trif 40 41 42
trif 43 44 45
trif 46 47 48
trif 49 50 51
trif 52 53 54
color 0.5156538617192484 0.37381040312590463 0.3902174123786324
xyz -0.3348789327897308 -0.0522992475199926 -0.007777716480768637
xyz -0.5975660169534045 0.970206376262081 -0.6749923596734537
xyz 0.2030944901390983 -0.45711888915357335 0.06531100219842711
loadmv  0.1879440075334391 0.45051801768750854 0.9275200941909627 0.5887385356666199  0.036370021387942986 0.435230856310723 0.520704008885708 0.07536652342315131  -0.8408462298542816 -0.6423312587732464 0.5455858260510968 -0.5107853708539398  0 0 0 1
trif 1 2 3
trif 4 5 6
trif 7 8 9
trif 10 11 12
trif 13 14 15
trif 16 17 18
trif 19 20 21
trif 22 23 24
trif 25 26 27
trif 28 29 30
trif 31 32 33
trif 34 35 36
trif 37 38 39
trif 40 41 42
trif 43 44 45
trif 46 47 48
trif 49 50 51
trif 52 53 54
trif 55 56 57
color 0.6574917963652649 0.696833504468614 0.6186226044629333
xyz -0.18030617569054952 0.7124993112371887 0.5487515456211185
xyz -0.9821386613657193 -0.058078951809694246 -0.08987413455852544
xyz 0.5067833574930243 0.18762462437104177 -0.5550513288119245
loadmv  0.22192858882326338 0.017286573749407674 0.9953195380510231 -0.8197944446945546  -0.30176858660612593 -0.6529587737348863 0.8969904476648074 0.7694704937583443  -0.6004569501718893 0.2746204413621034 -0.6558922521803743 0.8865673931880307  0 0 0 1
trif 1 2 3
trif 4 5 6
trif 7 8 9
trif 10 11 12
trif 13 14 15
trif 16 17 18
trif 19 20 21
trif 22 23 24
trif 25 26 27
trif 28 29 30
trif 31 32 33
trif 34 35 36
trif 37 38 39
trif 40 41 42
trif 43 44 45
trif 46 47 48
trif 49 50 51
trif 52 53 54
trif 55 56 57
trif 58 59 60
color 0.563035688212007 0.06534606597314374 0.7204684478232914
xyz -0.4780280471383356 -0.21026840693980842 0.8993717170090834
xyz -0.884958892285592 -0.9658636569934351 0.4689430451270209
xyz 0.9720279103849989 -0.32641263363541784 -0.4613828895890921
loadmv  -0.597627600433766 -0.11773508777453867 -0.7514690005101459 -0.393460246855724  -0.8250266059792124 -0.11180809769028244 -0.37228396396935226 0.4532122768214397  -0.40043821346413644 0.3056176069351484 -0.10824775674215426 -0.16897371837538722  0 0 0 1
trif 1 2 3
trif 4 5 6
trif 7 8 9
trif 10 11 12
trif 13 14 15
trif 16 17 18
trif 19 20 21
trif 22 23 24
trif 25 26 27
trif 28 29 30
trif 31 32 33
trif 34 35 36
trif 37 38 39
trif 40 41 42
trif 43 44 45
trif 46 47 48
trif 49 50 51
trif 52 53 54
trif 55 56 57
trif 58 59 60
trif 61 62 63
color 0.5267208284451077 0.1346513370303285 0.7865111929522877
xyz -0.2710074712314676 -0.08585738648447716 0.9251721104817057
xyz 0.6143524215068965 0.4401203725227738 -0.4402422711706637
xyz -0.7774363651465397 0.36148578689068667 -0.13806460902405648
loadmv  0.2503155128769152 0.6039518768592291 0.14070614936882375 0.9976220248501724  0.7914386845830039 0.042338816991595696 0.2721353301477989 0.7061319439093467  -0.3407032650693562 0.31559749544943827 -0.6426353395365949 -0.8574035572930139  0 0 0 1
trif 1 2 3
trif 4 5 6
trif 7 8 9
trif 10 11 12
trif 13 14 15
trif 16 17 18
trif 19 20 21
trif 22 23 24
trif 25 26 27
trif 28 29 30
trif 31 32 33
trif 34 35 36
trif 37 38 39
trif 40 41 42
trif 43 44 45
trif 46 47 48
trif 49 50 51
trif 52 53 54
trif 55 56 57
trif 58 59 60
trif 61 62 63
trif 64 65 66
color 0.3464930985329119 0.13269408053887832 0.44250417462431757
xyz -0.45788479742376986 -0.536971624910122 -0.46777125254645124
xyz -0.45890292397858645 0.3211022898456597 -0.3951541303429138
xyz -0.6667073578432174 0.926054713766453 0.9964280482425052
loadmv  0.9869852879896814 0.8971187800179117 -0.43536696066766534 0.11060756974434494  -0.7990391755540858 -0.5072415526033731 -0.6231942011931755 0.09431828487386373  0.41204043683646163 -0.6529920296170251 -0.9602596681031943 0.3272243688694463  0 0 0 1
trif 1 2 3
trif 4 5 6
trif 7 8 9
trif 10 11 12
trif 13 14 15
trif 16 17 18
trif 19 20 21
trif 22 23 24
trif 25 26 27
trif 28 29 30
trif 31 32 33
trif 34 35 36
trif 37 38 39
trif 40 41 42
trif 43 44 45
trif 46 47 48
trif 49 50 51
trif 52 53 54
trif 55 56 57
trif 58 59 60
trif 61 62 63
trif 64 65 66
trif 67 68 69
color 0.9731707910689991 0.24780611478494663 0.032566952533055527
xyz 0.6746839139285439 0.9103996355614654 -0.18054963007141844
xyz 0.025575196673019107 -0.8295946551992317 -0.37834508707673575
xyz -0.1177710436899706 0.5349542899755113 -0.6820380646590751
loadmv  0.1541018874109319 0.6737395564805224 0.20812033801288865 0.9871377041815894  0.5750849395009601 0.7548365756871573 -0.5397848518831154 0.07333415676364763  -0.6169726733000831 0.8849791766182413 -0.9805535578785285 0.13914198008562417  0 0 0 1
trif 1 2 3
trif 4 5 6
trif 7 8 9
trif 10 11 12
trif 13 14 15
trif 16 17 18
trif 19 20 21
trif 22 23 24
trif 25 26 27
trif 28 29 30
trif 31 32 33
trif 34 35 36
trif 37 38 39
trif 40 41 42
trif 43 44 45
trif 46 47 48
trif 49 50 51
trif 52 53 54
trif 55 56 57
trif 58 59 60
trif 61 62 63
trif 64 65 66
trif 67 68 69
trif 70 71 72
color 0.2186239522086636 0.19726214378589635 0.5278385156394005
xyz -0.9388987555929309 0.058817968100516094 0.010370214250712495
xyz 0.9393826376381664 -0.8684275036338043 -0.1113809881214396
xyz 0.849799565917245 0.24029071639454203 0.107110536042474
loadmv  0.08617033702834398 -0.9710045284738273 0.7555757517316986 0.09072663700213246  0.9063432388251929 0.9763874668590291 0.23449043342896791 0.176081705725333  -0.25646489839549313 -0.822496933378358 0.8489517829231701 0.08235299505945837  0 0 0 1
trif 1 2 3
trif 4 5 6
trif 7 8 9
trif 10 11 12
trif 13 14 15
trif 16 17 18
trif 19 20 21
trif 22 23 24
trif 25 26 27
trif 28 29 30
trif 31 32 33
trif 34 35 36
trif 37 38 39
trif 40 41 42
trif 43 44 45
trif 46 47 48
trif 49 50 51
trif 52 53 54
trif 55 56 57
trif 58 59 60
trif 61 62 63
trif 64 65 66
trif 67 68 69
trif 70 71 72
trif 73 74 75
color 0.9631844504899483 0.4379508174280252 0.11489961518087954
xyz 0.6980998839894774 0.5625546082265087 0.4582466324132348
xyz 0.07037643761438428 0.11427477544147902 0.9305269504379596
xyz -0.06165011828499911 0.45597760583198754 -0.5049921458794757
loadmv  -0.8453684565422632 0.43604062771054597 -0.012378873248277689 0.8353631522101048  0.1898363939601626 0.3206673935939788 0.5998143736145156 0.5406093351450696  -0.451295267318363 -0.7500373616907428 -0.7030884132376647 0.6679119918545211  0 0 0 1
trif 1 2 3
trif 4 5 6
trif 7 8 9
trif 10 11 12
trif 13 14 15
trif 16 17 18
trif 19 20 21
trif 22 23 24
trif 25 26 27
trif 28 29 30
trif 31 32 33
trif 34 35 36
trif 37 38 39
trif 40 41 42
trif 43 44 45
trif 46 47 48
trif 49 50 51
trif 52 53 54
trif 55 56 57
trif 58 59 60
trif 61 62 63
trif 64 65 66
trif 67 68 69
trif 70 71 72
trif 73 74 75
trif 76 77 78
color 0.5345236083239991 0.4450519045526422 0.8377701052503317
xyz -0.06870252975644986 0.0640372939282916 0.850421441963858
xyz 0.30106751763563855 -0.9939589807983777 -0.5834344697913245
xyz 0.7593668234552771 -0.7720726618790339 -0.5588964691919991
loadmv  -0.4902488546224206 -0.30030198529204877 -0.2793916118205262 0.852518987023126  -0.2055015108925149 -0.4176516256188936 -0.17173718868467702 0.9558694118701294  -0.6219539825722693 -0.21068942764746845 -0.5070999407661296 0.31179363580058883  0 0 0 1
trif 1 2 3
trif 4 5 6
trif 7 8 9
trif 10 11 12
trif 13 14 15
trif 16 17 18
trif 19 20 21
trif 22 23 24
trif 25 26 27
trif 28 29 30
trif 31 32 33
trif 34 35 36
trif 37 38 39
trif 40 41 42
trif 43 44 45
trif 46 47 48
trif 49 50 51
trif 52 53 54
trif 55 56 57
trif 58 59 60
trif 61 62 63
trif 64 65 66
trif 67 68 69
trif 70 71 72
trif 73 74 75
trif 76 77 78
trif 79 80 81
color 0.3372234698221588 0.5969821536395093 0.28147032630671187
xyz -0.5101010481929507 0.545027101121706 -0.31185363523398
xyz 0.12078525449209732 -0.37459720495080284 0.2427706623463859
xyz -0.5919870991086353 0.3231245764206532 0.8883101709102068
loadmv  0.043511821193058076 0.13266980687213437 0.14847519155958278 0.42239988345517476  0.9343787800184986 -0.5544597897119348 -0.6870456693793987 -0.8482382640431085  0.5531041201392524 -0.08232681615283433 0.03496959609851169 -0.8549321378083368  0 0 0 1
trif 1 2 3
trif 4 5 6
trif 7 8 9
trif 10 11 12
trif 13 14 15
trif 16 17 18
trif 19 20 21
trif 22 23 24
trif 25 26 27
trif 28 29 30
trif 31 32 33
trif 34 35 36
trif 37 38 39
trif 40 41 42
trif 43 44 45
trif 46 47 48
trif 49 50 51
trif 52 53 54
trif 55 56 57
trif 58 59 60
trif 61 62 63
trif 64 65 66
trif 67 68 69
trif 70 71 72
trif 73 74 75
trif 76 77 78
trif 79 80 81
trif 82 83 84
color 0.03680369182774568 0.7165177039393622 0.7425190700082268
xyz 0.29924125974737437 0.9443605751682866 0.818293975891015
xyz 0.2463257202981013 -0.4606867693967607 0.6018883088681284
xyz -0.16958322921056745 -0.1441063698172207 -0.9502253754073644
loadmv  -0.4254055007856059 0.13936087624257287 -0.7432136386058108 0.5741099034800476  0.5680628949348239 0.6430373248640548 0.7806332954512476 -0.14542800722371285  0.2603095143266143 0.8215708602930683 0.5525516578481195 0.7448600659516689  0 0 0 1
trif 1 2 3
trif 4 5 6
trif 7 8 9
trif 10 11 12
trif 13 14 15
trif 16 17 18
trif 19 20 21
trif 22 23 24
trif 25 26 27
trif 28 29 30
trif 31 32 33
trif 34 35 36
trif 37 38 39
trif 40 41 42
trif 43 44 45
trif 46 47 48
trif 49 50 51
trif 52 53 54
trif 55 56 57
trif 58 59 60
trif 61 62 63
trif 64 65 66
trif 67 68 69
trif 70 71 72
trif 73 74 75
trif 76 77 78
trif 79 80 81
trif 82 83 84
trif 85 86 87
color 0.8316569826972149 0.8111462303746896 0.17372575824313108
